hour_of_year,pm2.5_2022,pm2.5_2023,pm2.5_2024
7700,23.0,18.0,
7701,30.0,28.0,
7702,32.0,42.0,
7703,17.0,52.0,
7704,13.0,72.0,
7705,18.0,61.0,
7706,,36.0,
7707,,54.0,
7708,,65.0,
7709,28.0,45.0,
7710,,38.0,
7711,11.0,34.0,
7712,8.0,31.0,
7713,10.0,29.0,
7714,10.0,33.0,
7715,17.0,16.0,
7716,22.0,,
7717,18.0,2.0,
7718,17.0,8.0,
7719,,14.0,
7720,15.0,23.0,
7721,9.0,25.0,
7722,4.0,18.0,
7723,10.0,21.0,
7724,9.0,18.0,
7725,12.0,19.0,
7726,8.0,21.0,
7727,3.0,36.0,
7728,2.0,32.0,
7729,3.0,18.0,
7730,,23.0,
7731,2.0,17.0,
7732,,12.0,
7733,,15.0,
7734,,18.0,
7735,,14.0,
7736,2.0,15.0,
7737,,20.0,
7738,,18.0,
7739,,24.0,
7740,6.0,19.0,
7741,6.0,16.0,
7742,,28.0,
7743,,26.0,
7744,,28.0,
7745,2.0,27.0,
7746,7.0,16.0,
7747,9.0,11.0,
7748,9.0,18.0,
7749,8.0,30.0,
7750,6.0,44.0,
7751,8.0,41.0,
7752,4.0,39.0,
7753,,34.0,
7754,4.0,46.0,
7755,,40.0,
7756,,38.0,
7757,,43.0,
7758,2.0,48.0,
7759,,55.0,
7760,2.0,53.0,
7761,2.0,52.0,
7762,2.0,41.0,
7763,4.0,30.0,
7764,2.0,18.0,
7765,5.0,9.0,
7766,7.0,14.0,
7767,2.0,5.0,
7768,6.0,7.0,
7769,7.0,7.0,
7770,7.0,4.0,
7771,6.0,3.0,
7772,9.0,10.0,
7773,7.0,20.0,
7774,11.0,23.0,
7775,9.0,14.0,
7776,9.0,10.0,
7777,3.0,6.0,
7778,6.0,,
7779,7.0,,
7780,,,
7781,,,
7782,,,
7783,2.0,4.0,
7784,5.0,2.0,
7785,6.0,,
7786,,7.0,
7787,4.0,3.0,
7788,6.0,4.0,
7789,8.0,9.0,
7790,11.0,9.0,
7791,7.0,10.0,
7792,5.0,7.0,
7793,8.0,,
7794,8.0,2.0,
7795,15.0,6.0,
7796,20.0,7.0,
7797,26.0,8.0,
7798,6.0,10.0,
7799,9.0,4.0,
7800,4.0,10.0,
7801,6.0,5.0,
7802,4.0,,
7803,2.0,2.0,
7804,3.0,3.0,
7805,9.0,7.0,
7806,6.0,3.0,
7807,7.0,5.0,
7808,3.0,12.0,
7809,10.0,13.0,
7810,15.0,10.0,
7811,17.0,14.0,
7812,15.0,9.0,
7813,13.0,2.0,
7814,16.0,,
7815,10.0,,
7816,10.0,,
7817,6.0,11.0,
7818,17.0,24.0,
7819,21.0,21.0,
7820,25.0,27.0,
7821,17.0,41.0,
7822,5.0,41.0,
7823,9.0,27.0,
7824,5.0,19.0,
7825,,15.0,
7826,8.0,15.0,
7827,10.0,4.0,
7828,3.0,,
7829,8.0,8.0,
7830,2.0,10.0,
7831,7.0,13.0,
7832,8.0,14.0,
7833,7.0,14.0,
7834,11.0,42.0,
7835,7.0,58.0,
7836,16.0,,
7837,17.0,,
7838,20.0,2.0,
7839,15.0,9.0,
7840,26.0,21.0,
7841,31.0,31.0,
7842,42.0,26.0,
7843,32.0,21.0,
7844,36.0,23.0,
7845,37.0,33.0,
7846,36.0,30.0,
7847,59.0,26.0,
7848,65.0,12.0,
7849,33.0,20.0,
7850,29.0,25.0,
7851,35.0,24.0,
7852,38.0,18.0,
7853,35.0,10.0,
7854,32.0,16.0,
7855,32.0,20.0,
7856,29.0,23.0,
7857,35.0,39.0,
7858,37.0,63.0,
7859,34.0,54.0,
7860,30.0,,
7861,41.0,,
7862,29.0,2.0,
7863,27.0,5.0,
7864,44.0,18.0,
7865,44.0,20.0,
